Language_ID	Flag	Planar_Type	Analysis_Type	Abstract_Type	Domain_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Test_Labels	PW_Pattern	Notes
cent2127	NA	verbal	constituency	Segmental	Phonological	Consonant deletion	NA	VVV.clusteravoidance	2	16	V-Clust. Avoid.	assimilation	NA
yucu1253	NA	verbal	constituency	Segmental	Phonological	Vowel assimilation	Maximal	vowel coalescence ai>e	9	17	V-Coalesc. Max.	assimilation	NA
yucu1253	NA	verbal	constituency	Segmental	Phonological	Vowel coalescence	Minimal	vowel coalescence ua>o	9	10	V-Coalesc. Min.	assimilation	NA
hupd1244	NA	verbal	constituency	Segmental	Phonological	Vowel assimilation	Maximal	vowel.copying	2	32	Vowel Copy Max.	assimilation	NA
hupd1244	NA	nominal	constituency	Segmental	Phonological	Vowel assimilation	Maximal	vowel.copying	5	12	Vowel Copy Max.	assimilation	NA
hupd1244	NA	verbal	constituency	Segmental	Phonological	Vowel assimilation	Minimal	vowel.copying	6	20	Vowel Copy Min.	assimilation	NA
hupd1244	NA	nominal	constituency	Segmental	Phonological	Vowel assimilation	Minimal	vowel.copying	5	5	Vowel Copy Min.	assimilation	NA
zenz1235	NA	verbal	constituency	Segmental	Phonological	Vowel coalescence	NA	vowel fusion	13	17	Vowel Fusion	assimilation	NA
sout2991		verbal	constituency	Segmental	Phonological	NA	Minimal	NA	12	13	Vowel lowering	assimilation	
sout2991		verbal	constituency	Segmental	Phonological	NA	Maximal	NA	12	38	Vowel lowering	assimilation	
chac1251	NA	nominal	constituency	Segmental	Phonological	Consonant assimilation	NA	alveolarization	3	4		assimilation	NA
chac1251	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	NA	alveolarization	7	8		assimilation	NA
kiow1266	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Maximal	cluster.devoicing	29	33		assimilation	NA
kiow1266	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Minimal	cluster.devoicing	29	31		assimilation	NA
iyoj1235	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Maximal	Palatalization coronals.only	14	46		assimilation	NA
iyoj1235	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Maximal	Palatalization with.k(‘)y	14	40		assimilation	NA
iyoj1235	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Maximal	Palatalization without.k(‘)y	14	40		assimilation	NA
iyoj1235	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Minimal	Palatalization coronals.only	14	16		assimilation	NA
iyoj1235	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Minimal	Palatalization with.k(‘)y	14	16		assimilation	NA
iyoj1235	NA	verbal	constituency	Segmental	Phonological	Consonant assimilation	Minimal	Palatalization without.k(‘)y	14	18		assimilation	Possibly right edge is 25
kiow1266	NA	verbal	constituency	Segmental	Phonological	Consonant change	Maximal	dental-velar switch	26	36		assimilation	NA
kiow1266	NA	verbal	constituency	Segmental	Phonological	Consonant change	Minimal	Dental-Velar Switch	30	33		assimilation	NA
zenz1235	not.test	verbal	constituency	Suprasegmental	Phonological	Feature culminativity	Maximal	glottal stop	7	13	Culm. Glottal Stop Max.	constraint	NA
zenz1235	not.test	verbal	constituency	Suprasegmental	Phonological	Feature culminativity	Minimal	glottal stop	10	13	Culm. Glottal Stop Min.	constraint	NA
zenz1235	not.test	verbal	constituency	Suprasegmental	Phonological	Feature culminativity	NA	H tone constraint	10	13	Culm. H-Tone	constraint	NA
zenz1235	not.test	verbal	constituency	Suprasegmental	Phonological	Feature culminativity	Maximal	vowel length	4	13	Culm. V-Length Max.	constraint	NA
zenz1235	not.test	verbal	constituency	Suprasegmental	Phonological	Feature culminativity	Minimal	vowel length	7	13	Culm. V-Length Min.	constraint	NA
